y its colour blue,en,,
fuck unhygienic bold,en,,
favourite worm gummy,en,,
earthworm jim,en,,
moral of lesson do not eat raw food,en,,
should eat wood worms its your honey moon,en,,
mad props youre rock star amongst wood worms,en,,
bakawan are best firewood ever still use them my bakery,en,,
who would hire this guy play as freddy kruger,en,,
im filipino what fuck,en,,
was born philippines,en,,
its good,en,,
tastes like regret,no,,
yeaa accent word choice cracks me up,en,,
taste like regret sounds like ate wrong vag,af,,
im filipino why am watching this but its also delicous want try one guessedit or not fudge ew just woodworm qvq,en,,
am vegetarian but still enjoy watching this am weird,en,,
what mouthwatering journey have greetings from ph,en,,
taste like regret lol,no,,
he looks like lionel messi lol,et,,
rip tryphophobic,en,,
go wild take an animal from its natural habitat damn right wrong,en,,
are doing real adventures,ro,,
did mention have phobia of anything wormlike,en,,
guy on right was like quot yeah gona fuck my wife till she falls tonight quot d,en,,
would never eat worms im actually shock eat your amazing,en,,
can someone tell me how got here dont even mind tho,en,,
quotwe have no choicequotquotit taste regretquot,it,,
my country,en,,
holy moly guacamole are still at forest gathering these exotic foods kinda feel freakin coz they do look like worms im afraid of worms looks scary man eat right straight awayi gobsmacked my brain cant digest what sawhow this man swallowed thatif memaybe cannot even swallow even bitbut deep fried ones seems like much better thoughand kinda admit was salivating they are eating can say yum yum fried ones cheers dude,en,,
even if im filipino im still grosed out,en,,
favorite wormsask pornstars know what they would say wouldnt,en,,
man love this channel,en,,
love palawan would either live el nido or puerto princessa,en,,
am only one who noticed his tagalog accent quot peysosquot hahaha,en,,
disgustion,de,,
quottry balutquot,it,,
yus philippines,tl,,
am from philippine proof ako mean me tatay mean daddy,en,,
had then threw up started cry was,en,,
bad job on no shoes journey thats how get ebola,en,,
praying go up m reallllllllll soon,it,,
am filipino butam not like others pilipinos eat those,en,,
wowwphilippines,en,,
this channel deserves way more recognition are awesome lmao,en,,
quotif youre going full experience have go rawquot,fr,,
im filipino,it,,
your worm face adorable,en,,
masarap na masarap,tl,,
love your videos bro keep up good work,af,,
thanksfor great youtube show d got added subscriber,en,,
guys or team are rude those animals never deserved this are bad guy killing innocent animals should feel bad doing this bad know nobody probably with me but am,en,,
did just find your channel binge watch all your videos yup,en,,
whats your favorite philippine food mine senigang palabok,en,,
ako filipino whereyallfilipinosat,tl,,
taste like regret,no,,
what an underrated channel,en,,
vomited times,et,,
love your series youve actually experienced my birth country more than have simply awesome,en,,
just side notethey arent actually worms they are type of mollusktheyre just nicknamed woodworms,en,,
been living philippines my entire life never tasted tamilok mean love exotic food but think ill pass on this one,en,,
was lucky enough live philippines regret moving out,en,,
agree its all about food but dont know about eating worm,en,,
know what would do,en,,
fry fried breading secret beer batter old bay seasoning everyone thats had cant stop talking about,en,,
oh my god face sonny ate wood worms,en,,
paysos lol its pesos xd,ca,,
yaehh wut duh f,id,,
killed while trying eat,en,,
killed,tr,,
was only one who laughed at axemen joke,en,,
just earned subscriber,en,,
wtf thatdericioushahaha,en,,
this actually best food review show ive ever watched,en,,
fuuuuuuu blyad da kak tak mojno,so,,
there subscribe happy now what were thinking eating worm kiss your mom with those lips anywhoo keep up good work,en,,
he reminds me of logan paul,en,,
its palawan not polowon,tl,,
rat lung worm my favorite they use bivalve mollusks as their hosts,en,,
why would walk bear foot thru swamp water arent there snakes ladders,en,,
live philippines never knew they had things like this,en,,
whats song called at start,en,,
at first thought were kinda cringy especially how interacted with peoplemight have been older videos but now have watched more of your videos must say are much better than food ranger especially your subtle humor great subscribed,en,,
im filipino,tl,,
love your vids im little latethough plz reply d,en,,
your show very best anthony bourdain watch out,en,,
food ranger brought me here am loving because rock,en,,
ha ha flavor of regret always hard swallow bandanna your super hero cape repurposed good job even andrew zimmern had lemon help down those worms from beach,en,,
enjoyed watching this video,en,,
yuckphillipinos are dirty there food are nasty,en,,
any people comments,en,,
quotit tastes like regretquot lol died d,af,,
me step on ice with socks,en,,
luv food,et,,
hes such minnesota boy oml,en,,
finally youtube channel hosted by normal human not fucking bellend,en,,
gave thumb up because youre brave enough do raw im asian know cannot eat raw up this point dont think can try fried either,en,,
tommy look,en,,
guide very nice id have him as my guide too lol,en,,
was born there now im canada,en,,
almost thought were on travel channel but this fun watch,en,,
color of wood soooo amazing,en,,
can explain your riggears this video amazing colour tone video,en,,
nice channel man cheers from philippines,en,,
try exotic food from philippines region rats crickets frogs bittles worms,en,,
my favorite worm queen of ants try,en,,
quota giardia bisquequot delish,ca,,
should go african countries too lel,en,,
dude tho quotyaaaaquot,so,,
looks like used condom,et,,
woahhh youve been here at philippines thats awesome,en,,
what do have lot of stamina alone bed then let your hand come use,en,,
logan paul of food reviews,en,,
my favorite wormthe alaskan bull worm,en,,
my favorite worm one my pants,en,,
andrew zimmerman needs eat,nl,,
giardia bisque lmfao,ca,,
guy had hairy ass knuckles,en,,
,unknown,,
was about eat my chicken but saw worm threw up,en,,
masarap yan,id,,
know saw guys eat actually chew or swallow xd,en,,
paeso though hahaha,en,,
wont eat,en,,
would eat with hot sauce,en,,
im philippines but dont like those,en,,
just wana some wood why made hard,so,,
yaahhhhhhhhhhhh,so,,
wikipedia reference tho,en,,
lol,es,,
im filipino good know youre enjoying our food im from manaoag,en,,
damn guy has some popeye forearms on skinny body forearms bigger than his biceps good on him,en,,
eat fresh,en,,
how many times did die after eating different things,en,,
since found this channel my new hobby beside watching vids somehow enjoy watching subs numbrs go up up haha,en,,
yahhhhh,so,,
deserve m sub already bro,da,,
dude mil right around corner,en,,
make me want do what your doing,en,,
world s best street foods only india pakistan,en,,
shudder thatsliterally terrifying do love foods exotic cuisinebut have props going but dont like raw oysters think thats prerequisite,en,,
are already most exotic food eater have ever know already there any other people who eat more exotic food than do lol,en,,
come india,it,,
delicious foods even its exotic,ca,,
stamina why fuck asean countries are living under small dick amp stamina complex eating shit stamina holy fuck,en,,
ow dirty bro,en,,
my favorite worm gummy worm,en,,
hes not even cleaning properly,en,,
footlong,en,,
new subscriber here yuhuuu love find your channel,en,,
philippines my only wish go palawan enjoy having fun with beautiful sun,en,,
wowww look what fff hack,en,,
gordon ramsay bear grylls,cy,,
due look like logan paul just me,et,,
just dont know if could bring myself eat this fascinating watch tho,en,,
gastronomic adventurism love,en,,
why love my countrymen they can communicate anytime anywhere im happy manong saying deliciouslol,en,,
many pinoy families hid mangoves from japanese ww just think of walking think about doing at night,en,,
enjoy watching your videos from morning night much more worth watching than any videos from cable,en,,
enjoy watching your videos from morning night much more worth watching than any videos from cable,en,,
youre hot,en,,
are sexy ate those worms oh made look sexier way devour those worms,en,,
says stamina multiple times while fixing camera,en,,
this what poverty tastes like,en,,
this paul logan from food,en,,
he said tastes like regret lmbo,et,,
these worms die exposed open air weird animal insectcreaturebeastie,en,,
potato bug,it,,
,unknown,,
mouthwateringindeed,en,,
even though im filipino cant eat one aha palawan its healthy mother nature,en,,
whats music video dude are really good at exploring exotic food,en,,
lmao what fuck indeed,en,,
ooommmyygod,so,,
we got wood worm as well australia,af,,
there no way on earth would even touch em,en,,
awesome keep up love your videos,af,,
m confused what will do like or not not your mistake make this some people doesnt want see this reality,en,,
binge watching love your show your comic timing on point love your personality,en,,
yuck,tr,,
tamilok actually type of mussel,en,,
this something even wont eat especially raw salute,en,,
very interesting journey from jungle plate of food beautiful country people,en,,
eu yak,sw,,
hahhahaha white dude bagging extra stamina hahhahahacan anyone unser what do if alone room with extra stamina,en,,
ewwww but y,cy,,
sounded like seagul,no,,
filipina here im proud sub,en,,
id rather just eat my pizza here lmao,en,,
youre really funny this was good watch wanna try now lol,en,,
im filipino but would never want eat,en,,
wtf,cy,,
quotif want full experience have go rawquot lol,en,,
they call quotwoodquot worm reason,en,,
,unknown,,
quothe dunks what call giardia biskquotgreatness,en,,
can get this market or do really need hunt this,en,,
live palawan,tl,,
hey why they know worm was there,en,,
damn almost throw seeing this food,en,,
this my first time see your videos like your videos,en,,
fav worm just gummy worm,en,,
hey im filipino we do not eat maybee do love,en,,
looks like old mans penis but looks delicious im thinking quit being vegan,af,,
sorry clicked quotdislikequot because dont eat tamilok lol,en,,
id through up from texture,en,,
hai,cy,,
remind me of yr old logan paul,en,,
really cant eat kind of foodhell nooo,en,,
have feeling travel channel will be your near future,en,,
good have here ph,en,,
skip,sl,,
rofl,en,,
my favorite worm my boyfriends,af,,
fantastic job on this vid youre pretty amazing brave was just there two weeks ago had opportunity try these worms couldnt do by way please stay safe do this was horrified took your shoes off while trekking through jungle might not get lucky next time pick up some sort of parasite or get bitten by some wild critter take care keep up good work,en,,
ok even as filipino im kinda scared d,sl,,
just saying should never wear black shirt somewhere with mosquito bites disease they are attracted dark colored clothing,en,,
should not dump dirty water,en,,
hey all not scary already eat pig thingy calls lechon,en,,
natural always tastes best,en,,
lol whats taste taste like regret killed me hhh,et,,
thats ok than korean exotic food very dangerous,en,,
palawan one of greatest places philippines know because im filipino,en,,
feel like im being franked hahaha,no,,
this food channel good,en,,
im filipino but dont eat tamilok,tl,,
nearly threw up,en,,
far ive only watched two of your vids but im really enjoying them if saying quotif im honestquot isnt catchphrase guess just popped up lot two videos ive watched if im honest ive subscribed ill keep watching,en,,
gross,af,,
gross,af,,
those wood wormssalute having such daring heart eat those exotic delicacies,en,,
thats fascinating youre brave d people who think this ridiculous they dont want try anything new they just aint riighhhttttttt lmho my favorite worm are those green fluffy worms xd but not eat them lol,en,,
crazy shit,en,,
excellent video thank showing this all of us can not do what do,en,,
yuck,tr,,
they call wood worm reason lmfao kkkk,en,,
thumbed up video he said quothow about throwing thumbs upquot lol only time ive ever done on channel they ask,en,,
haha nice love this show,en,,
laugh hard almost said fk then said heck instead d,en,,
btw your guide rex sexy,fr,,
dude reminds me of guy from serendipity,en,,
oh shet thought my kettle was boiling,en,,
way filmed this vid soooo professional had tap subscribe button,en,,
im filipino,it,,
congratulations lol,fr,,
this fucking funny,en,,
can eat worms uncooked,en,,
this guydeserves more subscribermabuhaypilipinas,en,,
masakit dyan may bato kasi minsan,tl,,
hi man im filipino honestly was just coursing through gordon ramsays cooking videos were on my recommendation list im glad checked your channel out this video amazing youre pretty fun funny looking forward your future videos d,en,,
huge respect amk,en,,
loving worms lmao,en,,
what do with all stamina get plane north angeles welcomes with open arms,en,,
even though hate these food but should not make me made mad cause am filipino but didnt eat these food dont even laug how we speak,en,,
finally ate love your channel,en,,
cue philippine equivalent of montezumas revenge,en,,
,unknown,,
dang im gagging gutsy guy kuddos,tl,,
he kind of reminds me of logan paul not gonna lie,en,,
hahahaha quotit tastes like regretquot,sq,,
love your videos from philippines,en,,
thats not food,en,,
guide what does taste likesonny tastes like regreti died hahahahaha,af,,
,unknown,,
are sooo funnyy love besty,no,,
raw taste pmsl tastes like regret,et,,
stamina,fi,,
thats not scary at all those are just marine bivalve mollusks also called shipworms just imagine clam without hard shell,en,,
all boys know what do this situationif know what mean,en,,
like pinworm hahahahaha,id,,
omfg there k views da faq,en,,
like way film sonny,en,,
hahaha ang tahimik ng dalawa,tl,,
why does he look like old logan paul does not curseits compliment lolwell im happy about,en,,
admired this channel experiencing,en,,
my favorite kind of worms are gummy worms,en,,
was year old kid years ago id have chowed down on these things sure years ago age maybe years ago age fried maybe fried with sweet onion breaded maybe tequila chaser today age no way hell im old enough know what like worm isnt one of them serve them up diversity training seminars shame snowflakes into eating them not just one at time butby handful,en,,
amazing,sw,,
ate im palawan taste good,tl,,
its an aphrodisiac its called quotwoodquot worm reason youll get wood,en,,
my gf said she liked my worm better still she wants more she could not get satisfied kept coming back more lol,en,,
beautifully shot love ambience its exciting see exotic food process get this my first video watch from your page but not even halfway through ive clicked subscribe button xd love your channel,en,,
why call our food scary live philippines im pinoy,en,,
surprised havent hit m yet your channel awesome,en,,
eeewwwww,nl,,
earned new sub man,en,,
,unknown,,
hey our food bette im pilipino im love with philipine food,en,,
quotthey call wood worm reasonquot daw,en,,
swear youre anthony bourdaine,en,,
men im live palawan puerto princesa south go youtuber,en,,
long live philipines,tl,,
barefoot swamp want hookworms cause thats how get hookworms,en,,
if youre going full experience have go raw damn straight man,en,,
omg,sv,,
giardia bisque d haha,ca,,
subbed been watchin all your vids sonny what separates from other food reviews your humour hahaha are seth green of food reviews nope scratch meant seth rogen point are funny bro hope meet one day here philippines want bring some more cool food trips,en,,
dont know hidden food thats best more pinoy going on these place eat this food only pm night,en,,
whats my fav wormprobably tamilok,en,,
dont think not on your life mister,en,,
its better dip vinegar first,no,,
yaaaaaaaah,so,,
am hotelier by profession but nothing compares buddy,en,,
really how odd,cy,,
american guy sooo handsome,so,,
pay sos omg dude hahahhaaha,so,,
props murrikan eating thing lol,en,,
yo thats some crazy shit once life time opportunity good shit keep up scribe your channel,en,,
sub,et,,
,unknown,,
im half japanese eat lot of octopus legs sushi mostly shrimp tumpuira sushi rolls,en,,
brea he sound like peacock extinct bird or something,en,,
comes right out of hole amazing,en,,
if like this should also try watching tabieats ericsurf only japan,en,,
x men axe man,so,,
philippines are like literally like best vacation places because very beautiful really fun btw am filipino,en,,
how was this even discovered did someone just went middle of jungle carrying an axe decided cut dead logs fun,en,,
can take me this wild food adventures love eating exotic food me its lot of thrills,en,,
thought was bird turns out was scream,en,,
im eating right now,en,,
im hungry nowbut also eat these with vinegar too,en,,
paaalawan,tl,,
whats taste,en,,
bwiset nagutom ako,tl,,
quotits tastes like regretquot,sq,,
this guy reminds me of logan paul minus douche baggery lol,en,,
me have homework,en,,
saw nastey,tl,,
,unknown,,
akuna matata,tl,,
tastes like regret lmao,no,,
sonny are really brave but was gross usually cant watch these kind of vids,en,,
axe men comment was since quotaxe menquot show but great channel love dedication,en,,
someone give him show,en,,
im filipino luuuv lechon,ro,,
dont know how handled eating those wormslol,en,,
no way im not eating this thing ewww,en,,
yum nakita kita,sw,,
actually bug,en,,
are brave but wouldnt eat raw risk getting parasites,en,,
omg sonny had me dying with reaction he ate raw worm he funny lmao,en,,
,unknown,,
quotit taste like regretquot lol,sq,,
this like song by timon pumba lion king,tl,,
hi from philippines,en,,
smooth yellow skin easians are real threat towards entire animalamp sea world,en,,
from philippines,en,,
ji,sw,,
scream had me laughing,en,,
what ffffff heck hahahaha,cy,,
tamilok,fi,,
hahahawho do sell these worms toquottouristsquotthats filipino quotsuckersquot,en,,
need update how your poop look like at how was feeling after two day eating am this,en,,
because ive seen eating treasured creature will subscribe,en,,
never worm im afraid of them but im looking looking forward travelling,en,,
say its good but your face says opposite haha,en,,
are brave love,sl,,
must of stepped on thousand things lmao,en,,
must of stepped on thousand things lmao,en,,
must of stepped on thousand things lmao,en,,
im filipino samok oy sigah but food delicious xd,en,,
quotit tastes like regretquot are best dont pretend like food but dont even look extremely disgusted fact are funny even though dont like this kind of food people dont get offended,en,,
love tambilok am from leyte island but still love memories visiting palawan before,en,,
trypophobia warning,en,,
love,sl,,
im philipino philipinosquad where are at,en,,
bloodworm,af,,
tamilok actually not worm its from family of oyster,en,,
im not gonna eat ithell no,en,,
nice foodtravel vlog,cs,,
ewww gross,af,,
sarap ang pagkaen sa philipinas pero hindi ako sa philipinas,tl,,
think this guy my new most favorite human ever,en,,
wow philippines has tons of trees want go there,en,,
love your videos man always makes me laugh hahha aand good food reviews,en,,
what dumbass with dry humour,en,,
subscribed,ro,,
who eat pig don like pig comment down,en,,
eww but iam proud be filipino,en,,
live philippines,fr,,
ive been bingewatching your videos eversince thinking subscribed but happens notice aint even subbed hahahahah now im subscribing real with bell iloveyou sonny,en,,
delicios,es,,
noting dont eat thos ther are grose,en,,
cool,en,,
yeah theres lot of worms over there like ascaris,en,,
,unknown,,
dude pesos only xd,es,,
alone say your hand your ally d,en,,
proud be pinoy kaming mga pilipino,tl,,
worm like dude stop touching me lol,en,,
tree had prettiest colored bark,en,,
damn wont even try sushi,en,,
wish was hotel room with him all stamina,en,,
thats how do exotic food reviews go out hunt down thats part of experience definitely best ever food review showkeep up man,en,,
cant hate sonny,en,,
what name of background music,en,,
lots of stamina hope like cold showers,en,,
love sisig,da,,
lodi ka kuya,so,,
yummy,tr,,
try eating month old mashed bread fruitnow thats challenge,en,,
its beautiful there,en,,
am filipino but have never eat worm are lucky coz eat man rock,en,,
its dick,en,,
new subscriber po,en,,
eating worms how do they look disgusting how can people eat these shit oh man f gross,en,,
lechon,fr,,
am filipino but never eaten kind of food,en,,
like if can see fly d,en,,
come india,it,,
tryohobia warning,pl,,
we love man keep entertaining us,nl,,
love your channel hands down eating those exotic food,en,,
he looks like messi doesnt he,af,,
eeeeeewwwwwwwwwwwww,nl,,
kinda act like logan paul lol,et,,
even am filipino totally gross,en,,
philippines there are loads of creepy food their delicious live philippines,en,,
yummy tamilok,fi,,
im gonna subscribed because saw word philippines amp have never know can eat worms philippines amp im filipino myself hahaha,en,,
dis liek logan paul of food,en,,
brave,sl,,
taste good my ass,en,,
love eat those,en,,
am filipino,it,,
please make more pastries bulacan,en,,
awesome video logan paul older twin lol,af,,
fresh oysters,en,,
hey salute eating worm,en,,
sup im from philippine manila,tl,,
america view our third world as bad dare devil like sir awesome we arent bad arent we,en,,
like how make these funny love these just got new subscriber,en,,
its more fun philippines,fr,,
said its like clams would definetely try but not if they were worms,en,,
its good are full of shit lol,en,,
great video,da,,
snakebugswormblood soupratfinally sonny regrets something,en,,
hello mate two thumbs up my hats off all respect what are doing keep up great work,en,,
whats benefit of eating this worms hehehehe,en,,
they look like some parasite youd find somones brain,en,,
am only one or he really look like michael from office usa,en,,
literally best ever food review show much fun watch love your sense of humour,en,,
yeah yeah yeah yeah yeahh,id,,
my favourite big fat worm my husband penis best food ever,en,,
dilisyos,tl,,
grandest of congratulations sonny because best most epic farm table video have ever watched just got back from coron now have go back get me some tamilok maybe grilled,en,,
hmm love,sk,,
can not eat this one,en,,
what this,en,,
literally best food review show youtube,en,,
been there kinabuchs their tamilok crocodile sisig soooo good cant wait travel back again puerto princesa ang go eat again kinabuchs,en,,
tour guide kept saying yeaa,id,,
my favorite worm dat diiiickkkkk,af,,
lmao he always got biggest worm lmao oh can try stamina on me im hot actually,en,,
he said yeah but he pointed forward means no,en,,
ewww thats nasty almost throw up,en,,
im filipino ive been philippines dozens of times but omg ew could not be as brave as cant go barefoot eat those worms wow admire your dedication love your show youre entertaining,en,,
looks good same time,et,,
looks gross,af,,
im filipino,it,,
r man,cy,,
admire americans like who are willing explore learn other cultures instead of criticizing them their quotunusualquot diet some people just are too limited understand food also part of culture not same everywhere being pinoy have tried many kinds of exotic foods many parts of world but have not tried tamilok maybe should next time take vacation philippines again,en,,
love way guide says yaaa,so,,
guts of steel there awesome video subscribed,en,,
gross only worm ill ever eat are gummi worms,en,,
filipinoyahfilipinoyahfilipinoyah,tl,,
today sunday spent binge watch your videos part of me regret laying down facing my phone all day but really make me giggles laugh with your jokes good contentsi hope this year will be your lucky year,en,,
this fear factor shot right here,en,,
delicious lol,es,,
tamilok actually not worm but bivalve mollusc they are related clams mussels oysters etc,en,,
yay philippines proud be filipino,tl,,
hahahaha taena tamilok lang scariest wala namang lason yan,tl,,
im philipino live at philippines,tl,,
quotyeahquot guy was my favourite,en,,
quotso before they destroy our ships we need eat themquot,en,,
yuckkssss,fi,,
what fffheck,en,,
what f heck,en,,
httpswwwyoutubecomwatchvvoqrpphrvk,en,,
lotion kleenex yes ive seen all dont judge,nl,,
yeah,tr,,
love your channel just subscribed did meet mikey bustos while traveling manila,en,,
new subscriber here proudtobepinay proudtobepalawea,en,,
better than any show on tvcarry onlove from bangladesh also invitation check out our food,en,,
please tell me they dont eat,en,,
phillipine crocodile endangered not,it,,
never miss make me laugh,et,,
oh my god,cy,,
axeman makes me laugh hahahahaha,so,,
try some others places philippines recommend some experts will gain more subscribers on hahaha your videos are always good,en,,
what will do if have loads of staminabut then youre all alone room d,en,,
cannot get enough of your videos,en,,
hi im from phillipines actully never knew some people here eat those kinds of things like worm part but know some of know alot of things they eat here dont wanna hear,en,,
idk eat many things but never worm id rather eat bark,en,,
look dirty,af,,
its always more fun philippines buddy now your question about being quotalone with all staminaquot just select channel on your tvs remote control enjoy,en,,
what does taste liketastes like regret,af,,
go papua indonesia,id,,
guys were actully going palawan june,en,,
logan paul dads clogs be like,id,,
logan plaus dads clogs be like,af,,
what was type of camera was this filmed with looks amazing green,en,,
your show like real tv show haha,en,,
quotwood worm know what im sayingquot give one wood,en,,
sound like andrew zimmern youre narrating,en,,
,unknown,,
definitely going there this march thanks info dude,en,,
try some chicharon bulaklak ang chicharon bituka its one of best chicharon,en,,
well well well this channel has become more epic all caps intensity,en,,
actually doesnt destroy ships eats dead mangroves thats why its little bit helpful,en,,
quotit taste like regretquot,sq,,
quotwhat would do are all alone hotel with loads of staminaquot,en,,
welcome back philippines really like other people other countries visiting enjoying our home philippinesbut think are no visitors herei lovee muchenjoy our home,en,,
dolly zoom effect,cy,,
thats called tamilok,en,,
hi am pilipino thats foods yummy,en,,
haha hes like quotwhat fuheck quot,sq,,
yeahhhhyeahhhhhhh,so,,
are lucky there are no leeches muddy ground,en,,
lechonbarbecued whole pig,en,,
im proud be pinoy,hr,,
stanima,hr,,
taking your shoes off not good idea,en,,
quotwe did itquotwe,af,,
no no no hell nonot even if gave me stiffy solid week,en,,
are fing rock dude,sv,,
not really wormsbut shellless clams felt better after learning this lol,en,,
thank your effort on doing this vidoe salute sony much love from filipino im fan now,en,,
tom brady doppelganger,no,,
,unknown,,
american dude trouble hahahhah,en,,
awwww kudos eating those dont think can huhuhu,en,,
fill my tummy up side down,en,,
got my thumb sir,en,,
axe men are joy watch love your videos,en,,
tastes like regret,no,,
,unknown,,
delicious hahaha,ca,,
tastes like regret lol my gosh imnot trying rawmaybe breaded fried like calamari,en,,
httpsyoutubegswgcywlyipliz subscribe,en,,
,unknown,,
sodisgusting,et,,
tamilok best exotic food palawan proud pinoy sa totoo lang god bless philippines,en,,
myyy countryyy,en,,
ohh my gush tamilok hahaha good job guys,so,,
bedroom stamina boost woah sounds lot hotter sexier than aphrodisiac,en,,
hindi ka ya yan nakakatakot,sw,,
wood worm huh,af,,
these worms are fascinating they die almost immediately after being exposed oxygen or at least thats what my friends from philippines say kinda want try this but dont think can stomach,en,,
my fav exotic foodyummy,en,,
palawan heaven on earth,en,,
this foo got jokes eii,en,,
love ive been watching more than mark trevor now hilarious,en,,
freaking awesome video im retired chef live here philippines this video made me happy thank,en,,
yeah yeah yeah someone please tell me why he kept on saying yeah,en,,
your fun be watched,en,,
im filipino but didnt know tamilok exist niceeee learned something,en,,
thats nasty,en,,
doesnt look as scary as stuff preserves food america,en,,
youre brave going inside mangrove hahahhah love your expressions youre awesome wouldnt dare eating worms,en,,
wow its like an episode of man vs wild but only hunting eating portion ahha,en,,
like try worm,af,,
haha tagam,so,,
holi moli did not even try even do im close palawan island nice job,en,,
hahaha thats funny one stamina liked d video,et,,
laughed out at quotdelisyosquot part,fr,,
oh good heavens above im filo but wouldnt dare eat lol kudos sir loving your vids,en,,
this would go nicely made as cocktail or ceviche great video trinidad,en,,
quotgiardia bisquequot,ca,,
hows your wood man im am now an instant fan,en,,
tommy look,en,,
taste like wegwet,af,,
wow awesome video subbed,af,,
love your channel love your humorous personality definitely keeps me entertain laughing,en,,
best episode yet,da,,
wahahhahahahahaha face reaction while eating wood worm without vinegar ayussss,en,,
nice video as always im filipino welcome ph great watch your video,en,,
yakkk,sw,,
loops really delicious,en,,
inay ku po,tl,,
hahah love quotit tastes like regretquot,sq,,
this show just toooooo shorti wish was streamed hour shows on netflixcome on befrs make these longer court netflixyou guys are much better than any food show they have there lt this show lt,en,,
what fuck was part about stamina,en,,
im pilipino but not all pilipino eating kind of fcking disgusting worms,tl,,
worms found log were not moving were they all dead already or do they barely move,en,,
hhahaha now was funny ate worms,en,,
have visit indonesia,sq,,
hey dude love worms should try quotsasingsaypoquot sneak peek good luckhttpswwwyoutubecomwatchvplntmlzq,en,,
,unknown,,
hope make more funny video hope get more views get this channel video,en,,
happy seeing sonny excited,en,,
gusto ko tong tikmanksing lasa kaya ng talaba,tl,,
my suggest dare food albay chili ice cream sinarapan of polangui pinangat of camalig choco pili guinobatan longganisa,tl,,
sasing also delicious salt water worm,en,,
its yummy especially with vinegar kilawen deep fried,en,,
hahahah love your channel,en,,
sepertinya enak sekali,id,,
yeah,tr,,
comment,fr,,
am here from food ranger honestly love your videos much wow laughed way too hard while were eating worms your joke was very funny as well really love your channel ill be coming back here sure,en,,
planning watch all of your videos during break time load more of these fun videos please,en,,
found on food ranger but gotta be honest are definately more entertaining subscribed,en,,
im filipino but ill pass,it,,
godbless your prod ma friend,fr,,
comment,fr,,
wrong day wear white shoes,en,,
they speak spanish,en,,
tastes like regret bwahahhaha,et,,
hum ascaris taenia wondering how much parasite thsoe guys have inside their stomac,en,,
if want say f word just say lol,en,,
really like how your jokes dont work on localsbest show ever tons of respect eating worm,en,,
im filipino but dont eat without washing,en,,
whe filipino here,en,,
like sonny reviews all of food he discovers his reaction genuine,en,,
have steped on several things already lolthe fried ones looked yummy,en,,
hahahahahahahahaha funny dude delicious fking worm man hahaha,so,,
great video kept up,sv,,
who kisses this guy after no dont think,en,,
songs name pls,tl,,
we love your works keep on with love india,en,,
got curious never seen those kind of worms before,en,,
who likes eating those raw,en,,
this amazing actually ate tamilok while was watching your past videos im wondering if could eat this tamilok here are now eating exotic foods philippines if have time try eat adobong salagubang philippines also called june bugs they appear during rainy season beetle bugs also one famous exotic food pampanga shoutout myself hahahaha thank eating tamilok always fan of your youtube show hope see philippines one day,en,,
this guys great wish someday will be like going different places around world,en,,
are nice,ro,,
disgusting,af,,
oh wow now know what im gonna binge watch all day,en,,
quotwoodquot worm reason,en,,
not gonna travel still love your show youre awesome hope youre wildly successful happy stuff,en,,
thanks visiting palawan philippines im philippines thanks,en,,
dont stop revealing keep going brolove from india,en,,
love exotic food but this one nooooo,en,,
,unknown,,
wouldnt eat looks gross,af,,
giardia bisque,ca,,
thank sonny this interesting unique video havent seen anything like this before hey sonny check this outhttpswwwyoutubecomwatchvjoopdhttpsyoutubefifvarcybe,en,,
looking foward try stamina,en,,
,unknown,,
this videos make me laugh out loud dont ever plan on eating worms but its entertaining watch him,en,,
my lungs flies away find their own way,en,,
yummy face,en,,
youre cool man im filipino yet never tasted but its my dream taste exotic food,en,,
holy shit sonny face eating raw was priceless quotits goodquot rofl,en,,
tasted first than me am filipino sooo envious,en,,
thank share yours foods adventures,en,,
every bizarre should better be going along with vinegar,en,,
delicious hahahahaa,so,,
hahahahaha quotthey call wood worm reason know what im sayingquot,so,,
love this dude mini crush,en,,
its scaryhhhonly now see philippines exotic food congrats have brave stomach,en,,
lmao quotit tastes like regretquot,sq,,
full experience hit raw,en,,
enjoy your dessert of medendazole barefoot jungle eating raw worms wtf,en,,
youre back,en,,
seriously mean cant even begin describe how feel after,en,,
,unknown,,
eeeyeahhhh,so,,
alone hotel room sounds like lots lots of lotion,en,,
was too funny your sense of humor needed foodtravel videos,en,,
man fucken love your videos sonny but sorry still hate minnesota vikings,sv,,
mr may give some advice just be careful regarding raw food there are lot of diseases out there good jobs with videos,en,,
new sub here from philippines,en,,
stupid have taking off shoes made no sence,en,,
tastes like regret d,no,,
try wakwak too its also worm but found by beach beneath sands northern part of palawan was said tamilok came from word quottommy lookquot after two foreigners one tommy saw man eating wood worm,en,,
im filipino love tamilok its taste like oyster,et,,
fucking scream at omg,en,,
bwahahaha,so,,
dilisyus,tr,,
why keep complaininghmmmmm,en,,
love your videos,es,,
its five dollar foot long,en,,
love man best food review show sunny love from india,en,,
subscribed,ro,,
your awesome man,en,,
earthworm jim love videos man just spent days watching your entire channelliterally every single episode,en,,
collab with cong tv lol d,en,,
men love this channel very informative your good food travelerso inspiring,en,,
these worms are right up there with coconut worms thumbs up on your courage was there gofundme new drone,en,,
myfavoret werm erth werma,cy,,
how does taste tastes like regretlol,af,,
